sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-6.927;2.0967;4.689;6;2021-05-03 21:21:17:378
-6.927;2.0967;4.689;57;2021-05-03 21:21:17:429
-6.5727;2.7719;-0.0323;106;2021-05-03 21:21:17:478
-6.5727;2.7719;-0.0323;156;2021-05-03 21:21:17:528
-6.5727;2.7719;-0.0323;207;2021-05-03 21:21:17:579
-9.8743;0.4495;-3.6117;256;2021-05-03 21:21:17:628
-10.911;-0.5369;-5.8766;307;2021-05-03 21:21:17:679
-10.911;-0.5369;-5.8766;357;2021-05-03 21:21:17:729
-10.911;-0.5369;-5.8766;406;2021-05-03 21:21:17:778
-12.7162;-0.5321;-2.8;457;2021-05-03 21:21:17:829
-12.7162;-0.5321;-2.8;506;2021-05-03 21:21:17:878
-11.9453;1.5652;-3.9421;556;2021-05-03 21:21:17:928
-11.9453;1.5652;-3.9421;607;2021-05-03 21:21:17:979
-10.5447;0.7847;-4.124;656;2021-05-03 21:21:18:028
-10.5447;0.7847;-4.124;707;2021-05-03 21:21:18:079
-3.4052;-0.8553;-5.6395;756;2021-05-03 21:21:18:128
-3.4052;-0.8553;-5.6395;806;2021-05-03 21:21:18:178
-0.999;-3.0005;-8.5078;857;2021-05-03 21:21:18:229
-0.999;-3.0005;-8.5078;906;2021-05-03 21:21:18:278
-4.2048;-4.3748;-8.0816;957;2021-05-03 21:21:18:329
-4.2048;-4.3748;-8.0816;1007;2021-05-03 21:21:18:379
-4.7722;-3.3381;-6.9013;1057;2021-05-03 21:21:18:429
-4.7722;-3.3381;-6.9013;1107;2021-05-03 21:21:18:479
-3.477;-1.9255;-9.3482;1157;2021-05-03 21:21:18:529
-3.477;-1.9255;-9.3482;1206;2021-05-03 21:21:18:578
-8.3899;2.7216;-12.4487;1256;2021-05-03 21:21:18:628
-8.3899;2.7216;-12.4487;1306;2021-05-03 21:21:18:678
-3.8457;-2.9407;-8.7783;1356;2021-05-03 21:21:18:728
-3.8457;-2.9407;-8.7783;1406;2021-05-03 21:21:18:778
-3.9462;-2.3397;-8.5413;1457;2021-05-03 21:21:18:829
-3.9462;-2.3397;-8.5413;1506;2021-05-03 21:21:18:878
-4.6166;-2.5001;-9.4415;1556;2021-05-03 21:21:18:928
-4.6166;-2.5001;-9.4415;1606;2021-05-03 21:21:18:978
-4.0157;-2.7252;-8.5629;1657;2021-05-03 21:21:19:029
-4.0157;-2.7252;-8.5629;1707;2021-05-03 21:21:19:079
-3.3764;-1.0636;-6.1232;1757;2021-05-03 21:21:19:129
-3.3764;-1.0636;-6.1232;1807;2021-05-03 21:21:19:179
-4.5089;0.4495;-8.9675;1856;2021-05-03 21:21:19:228
-4.5089;0.4495;-8.9675;1907;2021-05-03 21:21:19:279
-3.5823;-0.6422;-10.3968;1956;2021-05-03 21:21:19:328
-3.5823;-0.6422;-10.3968;2007;2021-05-03 21:21:19:379
-6.192;0.3466;-10.5884;2056;2021-05-03 21:21:19:428
-6.192;0.3466;-10.5884;2106;2021-05-03 21:21:19:478
