sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.4267;3.4159;8.4886;7;2021-05-03 21:27:30:455
-3.4267;3.4159;8.4886;58;2021-05-03 21:27:30:506
-4.291;2.9012;5.6491;108;2021-05-03 21:27:30:556
-4.291;2.9012;5.6491;158;2021-05-03 21:27:30:606
-9.2638;3.0448;1.7585;208;2021-05-03 21:27:30:656
-9.2638;3.0448;1.7585;258;2021-05-03 21:27:30:706
-9.2877;2.7096;0.6788;308;2021-05-03 21:27:30:756
-9.2877;2.7096;0.6788;358;2021-05-03 21:27:30:806
-11.1265;1.2157;-4.1288;409;2021-05-03 21:27:30:857
-11.1265;1.2157;-4.1288;458;2021-05-03 21:27:30:906
-9.3404;-0.671;-3.4872;508;2021-05-03 21:27:30:956
-9.3404;-0.671;-3.4872;558;2021-05-03 21:27:31:006
-11.7705;-0.3262;-7.8326;608;2021-05-03 21:27:31:056
-11.7705;-0.3262;-7.8326;657;2021-05-03 21:27:31:105
-10.741;0.3298;-4.3706;709;2021-05-03 21:27:31:157
-10.741;0.3298;-4.3706;757;2021-05-03 21:27:31:205
-6.5033;2.2619;-7.5884;807;2021-05-03 21:27:31:255
-6.5033;2.2619;-7.5884;857;2021-05-03 21:27:31:305
-2.3158;-1.2049;-6.7959;907;2021-05-03 21:27:31:355
-2.3158;-1.2049;-6.7959;958;2021-05-03 21:27:31:406
-5.0955;-2.7587;-8.5485;1008;2021-05-03 21:27:31:456
-5.0955;-2.7587;-8.5485;1061;2021-05-03 21:27:31:509
-3.0891;-1.7077;-10.1502;1108;2021-05-03 21:27:31:556
-3.0891;-1.7077;-10.1502;1158;2021-05-03 21:27:31:606
-0.9415;-2.718;-7.6172;1208;2021-05-03 21:27:31:656
-0.9415;-2.718;-7.6172;1258;2021-05-03 21:27:31:706
4.2252;-1.1666;-9.2069;1308;2021-05-03 21:27:31:756
4.2252;-1.1666;-9.2069;1358;2021-05-03 21:27:31:806
-0.6063;-3.8217;-11.8238;1407;2021-05-03 21:27:31:855
-0.6063;-3.8217;-11.8238;1457;2021-05-03 21:27:31:905
1.0313;-2.4714;-10.8996;1507;2021-05-03 21:27:31:955
1.0313;-2.4714;-10.8996;1557;2021-05-03 21:27:32:005
-6.52;1.3114;-10.1191;1608;2021-05-03 21:27:32:056
-6.52;1.3114;-10.1191;1658;2021-05-03 21:27:32:106
-4.528;0.3561;-9.8174;1708;2021-05-03 21:27:32:156
-4.528;0.3561;-9.8174;1758;2021-05-03 21:27:32:206
-6.6134;3.131;0.8272;1808;2021-05-03 21:27:32:256
-6.6134;3.131;0.8272;1858;2021-05-03 21:27:32:306
-0.3454;-0.0078;-12.0584;1908;2021-05-03 21:27:32:356
-0.3454;-0.0078;-12.0584;1957;2021-05-03 21:27:32:405
0.5788;-4.5639;-15.755;2008;2021-05-03 21:27:32:456
0.5788;-3.4028;-11.7328;2058;2021-05-03 21:27:32:506
-1.8968;-3.4028;-11.7328;2108;2021-05-03 21:27:32:556
-1.8968;-3.4028;-11.7328;2158;2021-05-03 21:27:32:606
-1.1833;-5.7563;-4.0713;2208;2021-05-03 21:27:32:656
7.1389;-4.6837;-8.9866;2258;2021-05-03 21:27:32:706
7.1389;-4.6837;-8.9866;2308;2021-05-03 21:27:32:756
7.1389;-4.6837;-8.9866;2359;2021-05-03 21:27:32:807
2.3721;-4.5304;-8.7376;2407;2021-05-03 21:27:32:855
2.3721;-4.5304;-8.7376;2457;2021-05-03 21:27:32:905
3.4494;-4.0085;-7.4208;2508;2021-05-03 21:27:32:956
3.4494;-4.0085;-7.4208;2557;2021-05-03 21:27:33:005
3.7368;-4.1354;-7.8183;2607;2021-05-03 21:27:33:055
3.7368;-4.1354;-7.8183;2658;2021-05-03 21:27:33:106
3.5476;-4.1282;-8.2181;2708;2021-05-03 21:27:33:156
3.5476;-4.1282;-8.2181;2758;2021-05-03 21:27:33:206
3.5404;-4.2719;-8.594;2808;2021-05-03 21:27:33:256
