sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-6.5655;-2.5313;6.1447;7;2021-05-03 20:52:58:795
-6.5655;-2.5313;6.1447;58;2021-05-03 20:52:58:846
-9.3284;-1.6861;4.2054;107;2021-05-03 20:52:58:895
-9.3284;-1.6861;4.2054;156;2021-05-03 20:52:58:944
-14.0354;-0.8769;0.018;207;2021-05-03 20:52:58:995
-14.0354;-0.8769;0.018;257;2021-05-03 20:52:59:045
-9.9677;-1.2623;-3.7601;307;2021-05-03 20:52:59:095
-9.9677;-1.2623;-3.7601;357;2021-05-03 20:52:59:145
-9.9677;-1.2623;-3.7601;407;2021-05-03 20:52:59:195
-7.777;-3.4626;-2.0195;457;2021-05-03 20:52:59:245
-7.777;-3.4626;-2.0195;507;2021-05-03 20:52:59:295
-13.4321;-2.3828;-0.3244;557;2021-05-03 20:52:59:345
-13.4321;-2.3828;-0.3244;607;2021-05-03 20:52:59:395
-4.9255;-7.4897;-6.9635;656;2021-05-03 20:52:59:444
-8.1217;-2.5001;-0.5231;707;2021-05-03 20:52:59:495
-8.1217;-2.5001;-0.5231;757;2021-05-03 20:52:59:545
-9.4433;-4.394;-1.1193;807;2021-05-03 20:52:59:595
-9.4433;-4.394;-1.1193;857;2021-05-03 20:52:59:645
-9.3931;-11.6651;-1.2222;907;2021-05-03 20:52:59:695
-9.3931;-11.6651;-1.2222;957;2021-05-03 20:52:59:745
-3.1921;-4.8321;-2.6971;1007;2021-05-03 20:52:59:795
-3.1921;-4.8321;-2.6971;1057;2021-05-03 20:52:59:845
-4.5783;-5.7467;-2.0387;1106;2021-05-03 20:52:59:894
-4.5783;-5.7467;-2.0387;1157;2021-05-03 20:52:59:945
0.1861;-10.8176;-2.3619;1207;2021-05-03 20:52:59:995
0.1861;-10.8176;-2.3619;1257;2021-05-03 20:53:00:045
1.1031;-14.5358;1.0379;1307;2021-05-03 20:53:00:095
1.1031;-14.5358;1.0379;1357;2021-05-03 20:53:00:145
-1.1378;-9.3523;-2.9437;1407;2021-05-03 20:53:00:195
-1.1378;-9.3523;-2.9437;1456;2021-05-03 20:53:00:244
-0.319;-9.4816;0.7099;1507;2021-05-03 20:53:00:295
-0.319;-9.4816;0.7099;1557;2021-05-03 20:53:00:345
0.5213;-9.3787;0.2478;1606;2021-05-03 20:53:00:394
0.5213;-9.3787;0.2478;1657;2021-05-03 20:53:00:445
0.6482;-9.7378;-0.516;1707;2021-05-03 20:53:00:495
