sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
8.0661;-5.8867;-6.2722;3005;2021-05-03 15:35:56:008
4.789;-4.8111;-4.4095;3055;2021-05-03 15:35:56:058
4.789;-4.8111;-4.4095;3105;2021-05-03 15:35:56:108
6.7044;-5.3085;-7.2347;3155;2021-05-03 15:35:56:158
5.6563;-5.302;-5.3313;3204;2021-05-03 15:35:56:207
5.6563;-5.302;-5.3313;3255;2021-05-03 15:35:56:258
5.9807;-5.518;-5.876;3305;2021-05-03 15:35:56:308
6.2985;-0.9685;-5.4803;3355;2021-05-03 15:35:56:358
6.2985;-0.9685;-5.4803;3405;2021-05-03 15:35:56:408
6.5685;-3.9253;-4.7495;3454;2021-05-03 15:35:56:457
7.8248;-8.3504;-4.5161;3505;2021-05-03 15:35:56:508
6.763;-6.0507;-5.6354;3555;2021-05-03 15:35:56:558
6.763;-6.0507;-5.6354;3605;2021-05-03 15:35:56:608
6.8049;-7.3801;-4.7022;3655;2021-05-03 15:35:56:658
6.6559;-4.792;-4.2479;3705;2021-05-03 15:35:56:708
6.6559;-4.792;-4.2479;3755;2021-05-03 15:35:56:758
7.0551;-3.7775;-4.8441;3804;2021-05-03 15:35:56:807
7.4885;-4.6866;-5.4708;3855;2021-05-03 15:35:56:858
6.2962;-4.7758;-5.1697;3905;2021-05-03 15:35:56:908
6.2962;-4.7758;-5.1697;3954;2021-05-03 15:35:56:957
6.6948;-5.296;-4.5244;4004;2021-05-03 15:35:57:007
7.0785;-5.4546;-3.7356;4055;2021-05-03 15:35:57:058
7.0785;-5.4546;-3.7356;4105;2021-05-03 15:35:57:108
7.3502;-6.2884;-2.8904;4155;2021-05-03 15:35:57:158
7.3682;-6.4967;-1.8633;4204;2021-05-03 15:35:57:207
6.8342;-6.3309;-0.4902;4255;2021-05-03 15:35:57:258
6.8342;-6.3309;-0.4902;4305;2021-05-03 15:35:57:308
7.1048;-6.2309;1.8405;4354;2021-05-03 15:35:57:357
6.8582;-6.7469;5.1439;4405;2021-05-03 15:35:57:408
6.8582;-6.7469;5.1439;4455;2021-05-03 15:35:57:458
5.8137;-6.1705;5.9089;4504;2021-05-03 15:35:57:507
6.1758;-5.955;4.8249;4554;2021-05-03 15:35:57:557
6.3602;-5.9472;4.3144;4605;2021-05-03 15:35:57:608
6.3602;-5.9472;4.3144;4655;2021-05-03 15:35:57:658
6.7624;-6.2249;3.2609;4706;2021-05-03 15:35:57:709
7.4077;-6.0968;2.3816;4755;2021-05-03 15:35:57:758
7.4077;-6.0968;2.3816;4804;2021-05-03 15:35:57:807
7.6662;-5.6413;1.5921;4855;2021-05-03 15:35:57:858
7.5148;-5.7563;1.4365;4905;2021-05-03 15:35:57:908
7.6058;-5.6952;1.5275;4955;2021-05-03 15:35:57:958
7.6058;-5.6952;1.5275;5005;2021-05-03 15:35:58:008
7.5776;-5.9699;1.7927;5054;2021-05-03 15:35:58:057
7.5507;-6.0208;2.0321;5104;2021-05-03 15:35:58:107
7.5507;-6.0208;2.0321;5155;2021-05-03 15:35:58:158
7.4909;-6.0466;2.0548;5205;2021-05-03 15:35:58:208
7.4466;-6.0041;1.8986;5254;2021-05-03 15:35:58:257
7.5046;-5.9843;1.8286;5304;2021-05-03 15:35:58:307
7.5046;-5.9843;1.8286;5354;2021-05-03 15:35:58:357
7.522;-5.9167;1.7268;5405;2021-05-03 15:35:58:408
7.5346;-6.0442;1.8352;5455;2021-05-03 15:35:58:458
7.5346;-6.0442;1.8352;5505;2021-05-03 15:35:58:508
7.4795;-6.0807;2.3391;5554;2021-05-03 15:35:58:557
7.3257;-6.1118;2.4672;5605;2021-05-03 15:35:58:608
7.2826;-6.1118;2.4271;5655;2021-05-03 15:35:58:658
7.2826;-6.1118;2.4271;5704;2021-05-03 15:35:58:707
7.4382;-6.0256;2.0836;5755;2021-05-03 15:35:58:758
7.5286;-6.0956;1.7238;5805;2021-05-03 15:35:58:808
7.5286;-6.0956;1.7238;5854;2021-05-03 15:35:58:857
7.6184;-5.9837;1.6759;5905;2021-05-03 15:35:58:908
7.6172;-5.852;1.6251;5955;2021-05-03 15:35:58:958
7.7159;-5.9059;1.3629;6005;2021-05-03 15:35:59:008
7.7159;-5.9059;1.3629;6054;2021-05-03 15:35:59:057
7.5429;-5.9107;1.2617;6105;2021-05-03 15:35:59:108
7.9589;-5.9274;0.2999;6155;2021-05-03 15:35:59:158
7.9589;-5.9274;0.2999;6204;2021-05-03 15:35:59:207
7.6184;-5.9215;1.0529;6254;2021-05-03 15:35:59:257
7.7063;-5.9957;0.7374;6304;2021-05-03 15:35:59:307
7.6926;-6.0783;1.0133;6355;2021-05-03 15:35:59:358
7.6926;-6.0783;1.0133;6405;2021-05-03 15:35:59:408
7.6423;-6.1399;1.0912;6454;2021-05-03 15:35:59:457
7.7297;-6.2932;0.8116;6505;2021-05-03 15:35:59:508
7.7297;-6.2932;0.8116;6555;2021-05-03 15:35:59:558
7.8434;-6.0926;0.3873;6605;2021-05-03 15:35:59:608
7.9601;-5.7784;-0.0856;6654;2021-05-03 15:35:59:657
7.8949;-5.5031;-0.6841;6705;2021-05-03 15:35:59:708
7.8949;-5.5031;-0.6841;6755;2021-05-03 15:35:59:758
7.8973;-5.3947;-1.4317;6805;2021-05-03 15:35:59:808
7.8673;-5.3056;-2.047;6855;2021-05-03 15:35:59:858
7.8673;-5.3056;-2.047;6905;2021-05-03 15:35:59:908
7.7973;-5.4929;-2.2637;6955;2021-05-03 15:35:59:958
7.8159;-5.8861;-2.1877;7004;2021-05-03 15:36:00:007
7.6028;-5.8287;-2.39;7055;2021-05-03 15:36:00:058
7.6028;-5.8287;-2.39;7105;2021-05-03 15:36:00:108
7.5759;-5.3738;-2.4696;7155;2021-05-03 15:36:00:158
7.6112;-5.4917;-2.7509;7204;2021-05-03 15:36:00:207
7.6112;-5.4917;-2.7509;7255;2021-05-03 15:36:00:258
7.677;-5.5887;-3.4812;7305;2021-05-03 15:36:00:308
7.1222;-5.5528;-3.2453;7355;2021-05-03 15:36:00:358
7.1222;-5.5528;-3.2453;7405;2021-05-03 15:36:00:408
7.5507;-5.1038;-3.2962;7454;2021-05-03 15:36:00:457
7.0725;-5.4504;-3.9953;7505;2021-05-03 15:36:00:508
7.2353;-5.0422;-3.614;7555;2021-05-03 15:36:00:558
7.2353;-5.0422;-3.614;7604;2021-05-03 15:36:00:607
7.4561;-5.7144;-3.9456;7655;2021-05-03 15:36:00:658
6.9522;-5.1822;-3.453;7705;2021-05-03 15:36:00:708
6.9522;-5.1822;-3.453;7754;2021-05-03 15:36:00:757
7.0479;-5.05;-3.5404;7805;2021-05-03 15:36:00:808
7.4418;-6.0172;-3.1933;7855;2021-05-03 15:36:00:858
7.692;-6.0041;-3.2926;7905;2021-05-03 15:36:00:908
7.692;-6.0041;-3.2926;7954;2021-05-03 15:36:00:957
7.5651;-5.8766;-3.7763;8005;2021-05-03 15:36:01:008
7.1772;-4.9458;-3.5482;8055;2021-05-03 15:36:01:058
7.1772;-4.9458;-3.5482;8105;2021-05-03 15:36:01:108
7.1503;-4.9656;-4.5322;8154;2021-05-03 15:36:01:157
7.6004;-5.4354;-4.5532;8204;2021-05-03 15:36:01:207
7.3795;-5.0572;-5.4582;8255;2021-05-03 15:36:01:258
7.3795;-5.0572;-5.4582;8305;2021-05-03 15:36:01:308
5.6701;-4.388;-5.2613;8355;2021-05-03 15:36:01:358
5.9424;-4.2156;-4.7866;8406;2021-05-03 15:36:01:409
5.9424;-4.2156;-4.7866;8454;2021-05-03 15:36:01:457
7.437;-5.0817;-5.0063;8505;2021-05-03 15:36:01:508
6.9887;-5.1846;-5.1433;8554;2021-05-03 15:36:01:557
6.8301;-5.1493;-4.1354;8605;2021-05-03 15:36:01:608
6.8301;-5.1493;-4.1354;8655;2021-05-03 15:36:01:658
7.0593;-5.5982;-4.0067;8705;2021-05-03 15:36:01:708
7.103;-5.457;-3.8708;8755;2021-05-03 15:36:01:758
7.103;-5.457;-3.8708;8805;2021-05-03 15:36:01:808
7.2544;-5.6473;-4.0594;8854;2021-05-03 15:36:01:857
6.9061;-6.1058;-4.2467;8905;2021-05-03 15:36:01:908
6.8684;-5.3056;-3.322;8955;2021-05-03 15:36:01:958
6.8684;-5.3056;-3.322;9004;2021-05-03 15:36:02:007
7.3568;-6.128;-4.2479;9055;2021-05-03 15:36:02:058
7.4244;-5.0428;-4.2946;9105;2021-05-03 15:36:02:108
7.4244;-5.0428;-4.2946;9154;2021-05-03 15:36:02:157
7.0838;-4.7734;-4.7441;9204;2021-05-03 15:36:02:207
6.6355;-5.2487;-4.1833;9255;2021-05-03 15:36:02:258
7.4172;-5.1481;-4.2641;9305;2021-05-03 15:36:02:308
7.4172;-5.1481;-4.2641;9354;2021-05-03 15:36:02:357
7.4268;-5.5833;-3.8146;9405;2021-05-03 15:36:02:408
7.8201;-5.214;-4.063;9455;2021-05-03 15:36:02:458
7.8201;-5.214;-4.063;9505;2021-05-03 15:36:02:508
8.0128;-4.7854;-4.2359;9555;2021-05-03 15:36:02:558
7.7225;-4.5711;-2.5265;9604;2021-05-03 15:36:02:607
8.2337;-4.6334;-1.2288;9655;2021-05-03 15:36:02:658
8.2337;-4.6334;-1.2288;9704;2021-05-03 15:36:02:707
8.8394;-4.2599;-0.7201;9755;2021-05-03 15:36:02:758
8.0308;-3.887;0.1203;9805;2021-05-03 15:36:02:808
8.0308;-3.887;0.1203;9855;2021-05-03 15:36:02:858
7.6716;-4.3467;0.428;9905;2021-05-03 15:36:02:908
9.244;-5.0326;0.1113;9954;2021-05-03 15:36:02:957
8.3432;-5.4887;-0.4878;10004;2021-05-03 15:36:03:007
8.3432;-5.4887;-0.4878;10055;2021-05-03 15:36:03:058
7.8578;-5.8724;0.1167;10104;2021-05-03 15:36:03:107
8.2762;-6.681;0.1508;10154;2021-05-03 15:36:03:157
8.2762;-6.681;0.1508;10204;2021-05-03 15:36:03:207
6.9599;-5.8371;-0.3729;10255;2021-05-03 15:36:03:258
8.0792;-6.8456;-0.5333;10305;2021-05-03 15:36:03:308
7.0557;-4.5645;-1.0714;10354;2021-05-03 15:36:03:357
7.0557;-4.5645;-1.0714;10405;2021-05-03 15:36:03:408
8.6898;-6.5858;-1.7119;10455;2021-05-03 15:36:03:458
8.3175;-5.6108;-1.886;10505;2021-05-03 15:36:03:508
8.3175;-5.6108;-1.886;10554;2021-05-03 15:36:03:557
6.9617;-5.3217;-1.9674;10605;2021-05-03 15:36:03:608
7.4627;-5.5049;-1.631;10655;2021-05-03 15:36:03:658
7.4627;-5.5049;-1.631;10705;2021-05-03 15:36:03:708
7.4484;-5.7587;-2.0758;10754;2021-05-03 15:36:03:757
7.2724;-6.1393;-3.4614;10805;2021-05-03 15:36:03:808
6.8833;-5.4091;-3.3178;10855;2021-05-03 15:36:03:858
6.8833;-5.4091;-3.3178;10905;2021-05-03 15:36:03:908
6.5404;-6.3799;-4.604;10954;2021-05-03 15:36:03:957
6.2572;-6.1866;-5.9873;11005;2021-05-03 15:36:04:008
6.2572;-6.1866;-5.9873;11055;2021-05-03 15:36:04:058
5.3965;-5.9005;-7.1006;11104;2021-05-03 15:36:04:107
4.8566;-4.6178;-6.3548;11155;2021-05-03 15:36:04:158
4.8662;-5.023;-6.4057;11205;2021-05-03 15:36:04:208
4.8662;-5.023;-6.4057;11254;2021-05-03 15:36:04:257
4.9069;-5.5587;-6.5404;11305;2021-05-03 15:36:04:308
4.9195;-5.7748;-7.2149;11355;2021-05-03 15:36:04:358
4.9195;-5.7748;-7.2149;11405;2021-05-03 15:36:04:408
5.6784;-5.2547;-6.6104;11454;2021-05-03 15:36:04:457
5.4013;-5.846;-6.9713;11505;2021-05-03 15:36:04:508
4.2377;-5.0769;-6.4871;11555;2021-05-03 15:36:04:558
4.2377;-5.0769;-6.4871;11605;2021-05-03 15:36:04:608
3.9474;-4.6106;-5.8628;11654;2021-05-03 15:36:04:657
6.2345;-4.3856;-5.5545;11705;2021-05-03 15:36:04:708
