sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
2.1877;-3.9367;-9.3769;1659;2021-05-03 14:50:07:014
2.1877;-3.9367;-9.3769;1708;2021-05-03 14:50:07:063
1.6442;-2.8712;-9.3482;1758;2021-05-03 14:50:07:113
1.6442;-2.8712;-9.3482;1809;2021-05-03 14:50:07:164
1.3258;-2.5983;-9.3194;1858;2021-05-03 14:50:07:213
1.3258;-2.5983;-9.3194;1909;2021-05-03 14:50:07:264
1.4072;-2.493;-9.4679;1958;2021-05-03 14:50:07:313
1.4072;-2.493;-9.4679;2009;2021-05-03 14:50:07:364
1.8405;-2.6318;-9.317;2059;2021-05-03 14:50:07:414
1.8405;-2.6318;-9.317;2109;2021-05-03 14:50:07:464
1.7831;-2.6486;-9.8653;2159;2021-05-03 14:50:07:514
1.7831;-2.6486;-9.8653;2208;2021-05-03 14:50:07:563
1.6107;-2.3469;-9.329;2259;2021-05-03 14:50:07:614
1.6107;-2.3469;-9.329;2309;2021-05-03 14:50:07:664
1.2037;-1.88;-9.6331;2359;2021-05-03 14:50:07:714
1.2037;-1.88;-9.6331;2409;2021-05-03 14:50:07:764
1.3833;-2.4451;-9.5517;2459;2021-05-03 14:50:07:814
1.3833;-2.4451;-9.5517;2508;2021-05-03 14:50:07:863
1.1103;-2.2655;-9.1327;2559;2021-05-03 14:50:07:914
1.1103;-2.2655;-9.1327;2609;2021-05-03 14:50:07:964
1.2516;-2.3637;-10.0497;2658;2021-05-03 14:50:08:013
1.2516;-2.3637;-10.0497;2709;2021-05-03 14:50:08:064
1.23;-2.1147;-9.5708;2759;2021-05-03 14:50:08:114
1.23;-2.1147;-9.5708;2809;2021-05-03 14:50:08:164
1.4216;-2.5001;-9.4966;2859;2021-05-03 14:50:08:214
1.4216;-2.5001;-9.4966;2909;2021-05-03 14:50:08:264
0.9858;-2.1147;-9.4822;2958;2021-05-03 14:50:08:313
0.9858;-2.1147;-9.4822;3008;2021-05-03 14:50:08:363
