sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.1678;-6.9845;-1.0068;5010;2021-05-03 20:41:29:734
1.0552;-8.0475;0.7697;5060;2021-05-03 20:41:29:784
1.0552;-8.0475;0.7697;5110;2021-05-03 20:41:29:834
-0.9367;-9.7905;0.5112;5160;2021-05-03 20:41:29:884
-0.9367;-9.7905;0.5112;5210;2021-05-03 20:41:29:934
-0.8266;-9.3763;0.0323;5260;2021-05-03 20:41:29:984
-0.8266;-9.3763;0.0323;5310;2021-05-03 20:41:30:034
0.6985;-9.6085;0.1832;5360;2021-05-03 20:41:30:084
0.6985;-9.6085;0.1832;5410;2021-05-03 20:41:30:134
-1.7125;-10.9493;-0.5734;5460;2021-05-03 20:41:30:184
-1.7125;-10.9493;-0.5734;5510;2021-05-03 20:41:30:234
-1.2121;-11.5335;-2.9389;5560;2021-05-03 20:41:30:284
-1.2121;-11.5335;-2.9389;5610;2021-05-03 20:41:30:334
3.1597;-16.9276;2.4696;5660;2021-05-03 20:41:30:384
3.1597;-16.9276;2.4696;5710;2021-05-03 20:41:30:434
3.143;-6.2519;-0.0204;5760;2021-05-03 20:41:30:484
3.143;-6.2519;-0.0204;5810;2021-05-03 20:41:30:534
1.0505;-4.6693;0.1688;5860;2021-05-03 20:41:30:584
1.0505;-4.6693;0.1688;5910;2021-05-03 20:41:30:634
-1.3653;-13.6164;-12.9945;5960;2021-05-03 20:41:30:684
-1.3653;-13.6164;-12.9945;6010;2021-05-03 20:41:30:734
2.1159;-7.9254;-0.9924;6060;2021-05-03 20:41:30:784
2.1159;-7.9254;-0.9924;6110;2021-05-03 20:41:30:834
1.5317;-7.8296;0.8344;6160;2021-05-03 20:41:30:884
1.5317;-7.8296;0.8344;6210;2021-05-03 20:41:30:934
-0.3023;-10.4872;1.9477;6260;2021-05-03 20:41:30:984
-0.3023;-10.4872;1.9477;6310;2021-05-03 20:41:31:034
-1.1833;-9.4984;0.2334;6360;2021-05-03 20:41:31:084
-1.1833;-9.4984;0.2334;6410;2021-05-03 20:41:31:134
-1.4682;-9.5032;0.0251;6460;2021-05-03 20:41:31:184
-1.4682;-9.5032;0.0251;6510;2021-05-03 20:41:31:234
-1.2791;-9.8791;-3.4536;6560;2021-05-03 20:41:31:284
-1.2791;-9.8791;-3.4536;6610;2021-05-03 20:41:31:334
-0.4411;-12.8263;-0.3795;6660;2021-05-03 20:41:31:384
-0.4411;-12.8263;-0.3795;6710;2021-05-03 20:41:31:434
1.5532;-13.6643;1.0546;6760;2021-05-03 20:41:31:484
1.5532;-13.6643;1.0546;6810;2021-05-03 20:41:31:534
4.783;-9.8192;0.6117;6860;2021-05-03 20:41:31:584
4.783;-9.8192;0.6117;6910;2021-05-03 20:41:31:634
1.0409;-6.7618;-2.9221;6960;2021-05-03 20:41:31:684
1.0409;-6.7618;-2.9221;7010;2021-05-03 20:41:31:734
-0.5848;-8.0092;-0.7434;7060;2021-05-03 20:41:31:784
-0.5848;-8.0092;-0.7434;7110;2021-05-03 20:41:31:834
-1.5832;-11.6388;-7.0928;7160;2021-05-03 20:41:31:884
-1.5832;-11.6388;-7.0928;7210;2021-05-03 20:41:31:934
-0.3789;-10.3914;1.3707;7260;2021-05-03 20:41:31:984
-0.3789;-10.3914;1.3707;7310;2021-05-03 20:41:32:034
1.8597;-8.9693;1.7514;7360;2021-05-03 20:41:32:084
1.8597;-8.9693;1.7514;7409;2021-05-03 20:41:32:133
-0.6039;-10.65;1.3324;7460;2021-05-03 20:41:32:184
-0.6039;-10.65;1.3324;7510;2021-05-03 20:41:32:234
-1.7891;-9.8192;0.3196;7560;2021-05-03 20:41:32:284
-1.7891;-9.8192;0.3196;7610;2021-05-03 20:41:32:334
-2.5169;-9.4697;0.0299;7660;2021-05-03 20:41:32:384
-2.5169;-9.4697;0.0299;7710;2021-05-03 20:41:32:434
-1.0349;-11.4712;-1.646;7760;2021-05-03 20:41:32:484
-1.0349;-11.4712;-1.646;7810;2021-05-03 20:41:32:534
0.9667;-11.3204;-3.389;7860;2021-05-03 20:41:32:584
0.9667;-11.3204;-3.389;7910;2021-05-03 20:41:32:634
0.7991;-13.5254;1.6891;7960;2021-05-03 20:41:32:684
0.7991;-13.5254;1.6891;8010;2021-05-03 20:41:32:734
2.3266;-8.5862;-2.5486;8060;2021-05-03 20:41:32:784
2.3266;-8.5862;-2.5486;8110;2021-05-03 20:41:32:834
0.9475;-7.3628;-0.0539;8160;2021-05-03 20:41:32:884
0.9475;-7.3628;-0.0539;8210;2021-05-03 20:41:32:934
-0.501;-7.3819;-5.3762;8260;2021-05-03 20:41:32:984
-0.501;-7.3819;-5.3762;8310;2021-05-03 20:41:33:034
-4.0229;-12.2637;-5.1176;8360;2021-05-03 20:41:33:084
-4.0229;-12.2637;-5.1176;8410;2021-05-03 20:41:33:134
0.8589;-11.4497;1.9597;8460;2021-05-03 20:41:33:184
0.8589;-11.4497;1.9597;8510;2021-05-03 20:41:33:234
-0.3885;-10.6907;1.6915;8560;2021-05-03 20:41:33:284
-0.3885;-10.6907;1.6915;8610;2021-05-03 20:41:33:334
-0.8841;-8.4833;0.1257;8660;2021-05-03 20:41:33:384
-0.8841;-8.4833;0.1257;8710;2021-05-03 20:41:33:434
0.4878;-10.1616;-0.2646;8759;2021-05-03 20:41:33:483
0.4878;-10.1616;-0.2646;8810;2021-05-03 20:41:33:534
1.2324;-9.4146;-1.998;8860;2021-05-03 20:41:33:584
1.2324;-9.4146;-1.998;8910;2021-05-03 20:41:33:634
-4.0253;-12.3403;-2.8048;8960;2021-05-03 20:41:33:684
-4.0253;-12.3403;-2.8048;9010;2021-05-03 20:41:33:734
0.0353;-12.1057;1.4162;9060;2021-05-03 20:41:33:784
0.0353;-12.1057;1.4162;9110;2021-05-03 20:41:33:834
2.4104;-11.0451;1.895;9160;2021-05-03 20:41:33:884
2.4104;-11.0451;1.895;9210;2021-05-03 20:41:33:934
1.333;-5.2319;0.1472;9260;2021-05-03 20:41:33:984
1.333;-5.2319;0.1472;9310;2021-05-03 20:41:34:034
0.258;-6.9988;-1.9118;9360;2021-05-03 20:41:34:084
0.258;-6.9988;-1.9118;9410;2021-05-03 20:41:34:134
-3.2783;-12.2685;-5.7856;9460;2021-05-03 20:41:34:184
-3.2783;-12.2685;-5.7856;9510;2021-05-03 20:41:34:234
3.8445;-14.4257;-0.2813;9560;2021-05-03 20:41:34:284
3.8445;-14.4257;-0.2813;9610;2021-05-03 20:41:34:334
0.3106;-10.3723;1.6652;9660;2021-05-03 20:41:34:384
0.3106;-10.3723;1.6652;9710;2021-05-03 20:41:34:434
-1.4419;-9.3404;0.583;9760;2021-05-03 20:41:34:484
